Substituent,sigma_p_minus,G_IM (kcal/mol)
4-NO2Ph,3.949283598371961,-4.18486
4-OMePh,0.5013649106167108,0.86973
CCH,3.133760675005117,-7.85705
CF3,3.596028321946066,-9.21247
CHCH2,1.6453048487447552,-3.52849
CHCHCO2Me,4.803443817633221,-11.33219
CHCHNMe2,-1.1692381676167527,1.44013
CN,5.9211655907311975,-13.35842
CO2Me,4.524243358206734,-4.32103
F,0.07635465607680562,6.85429
Me,-1.0524063444348133,4.3888
N3,1.1053026422762953,-0.45557
NMe2,-2.8426010526662937,6.96661
NO2,8.467547375122527,-11.49597
H,0,5.11734
