Name,Subdir,Substituent,Charge,Multiplicity,NumImFreq,Energy (Eh),qhG (Eh),E rel (kcal/mol),qhG rel (kcal/mol)
3'_4-NO2Ph.log,3',4-NO2Ph,0,1,0,-1578.61589,-1578.24115,0.00000,0.00000
3'_4-OMePh.log,3',4-OMePh,0,1,0,-1488.67438,-1488.26978,0.00000,0.00000
3'_CCH.log,3',CCH,0,1,0,-1219.42643,-1219.12340,0.00000,0.00000
3'_CF3.log,3',CF3,0,1,0,-1480.21552,-1479.91786,0.00000,0.00000
3'_CHCH2.log,3',CHCH2,0,1,0,-1220.68115,-1220.35447,0.00000,0.00000
3'_CHCHCO2Me.log,3',CHCHCO2Me,0,1,0,-1448.41880,-1448.05153,0.00000,0.00000
3'_CHCHNMe2.log,3',CHCHNMe2,0,1,0,-1354.55837,-1354.16153,0.00000,0.00000
3'_CN.log,3',CN,0,1,0,-1235.51752,-1235.22482,0.00000,0.00000
3'_CO2Me.log,3',CO2Me,0,1,0,-1371.07848,-1370.74315,0.00000,0.00000
3'_F.log,3',F,0,1,0,-1242.54203,-1242.25499,0.00000,0.00000
3'_H.log,3',H,0,1,0,-1143.35690,-1143.06029,0.00000,0.00000
3'_Me.log,3',Me,0,1,0,-1182.63764,-1182.31490,0.00000,0.00000
3'_N3.log,3',N3,0,1,0,-1306.82827,-1306.53116,0.00000,0.00000
3'_NMe2.log,3',NMe2,0,1,0,-1277.21364,-1276.84890,0.00000,0.00000
3'_NO2.log,3',NO2,0,1,0,-1347.72742,-1347.43097,0.00000,0.00000
4'_4-NO2Ph.log,4',4-NO2Ph,0,1,0,-1578.62067,-1578.27001,-2.99761,-18.10679
4'_4-OMePh.log,4',4-OMePh,0,1,0,-1488.67821,-1488.29791,-2.39897,-17.64870
4'_CCH.log,4',CCH,0,1,0,-1219.42809,-1219.14885,-1.03916,-15.96698
4'_CF3.log,4',CF3,0,1,0,-1480.21686,-1479.94314,-0.84400,-15.86219
4'_CHCH2.log,4',CHCH2,0,1,0,-1220.68844,-1220.38559,-4.57517,-19.52998
4'_CHCHCO2Me.log,4',CHCHCO2Me,0,1,0,-1448.42785,-1448.08468,-5.67896,-20.79943
4'_CHCHNMe2.log,4',CHCHNMe2,0,1,0,-1354.57002,-1354.19671,-7.30735,-22.07892
4'_CN.log,4',CN,0,1,0,-1235.51491,-1235.24583,1.63654,-13.18021
4'_CO2Me.log,4',CO2Me,0,1,0,-1371.07630,-1370.76518,1.36797,-13.82090
4'_F.log,4',F,0,1,0,-1242.52189,-1242.25918,12.63930,-2.62926
4'_H.log,4',H,0,1,0,-1143.34268,-1143.07131,8.92444,-6.91829
4'_Me.log,4',Me,0,1,0,-1182.63472,-1182.33705,1.83107,-13.89934
4'_N3.log,4',N3,0,1,0,-1306.82241,-1306.54976,3.67909,-11.67544
4'_NMe2.log,4',NMe2,0,1,0,-1277.21269,-1276.87156,0.59739,-14.21937
4'_NO2.log,4',NO2,0,1,0,-1347.72252,-1347.44997,3.07354,-11.91954
IM_4-NO2Ph.log,IM,4-NO2Ph,0,1,0,-1578.62255,-1578.24782,-4.17733,-4.18486
IM_4-OMePh.log,IM,4-OMePh,0,1,0,-1488.67266,-1488.26840,1.08057,0.86973
IM_CCH.log,IM,CCH,0,1,0,-1219.43889,-1219.13592,-7.82002,-7.85705
IM_CF3.log,IM,CF3,0,1,0,-1480.23023,-1479.93255,-9.23317,-9.21247
IM_CHCH2.log,IM,CHCH2,0,1,0,-1220.68701,-1220.36009,-3.67972,-3.52849
IM_CHCHCO2Me.log,IM,CHCHCO2Me,0,1,0,-1448.43708,-1448.06959,-11.47401,-11.33219
